IDENTIFIER,CONCEPT_CODE,SHORT_URI,DEFINITION,DESCRIPTORS,PARENTS,value,PUBLIC_ID
"getNextPvId()","","CL_0000021","","","","female germ cell","cell_type"
"getNextPvId()","","CL_2000005","","","UBERON_0000955 UBERON_0000955","brain macroglial cell","cell_type"
"getNextPvId()","","CL_0000071","","","","blood vessel endothelial cell","cell_type"
"getNextPvId()","","CL_2000010","","","UBERON_0002097","dermis blood vessel endothelial cell","cell_type"
"getNextPvId()","","CL_0002138","","","","endothelial cell of lymphatic vessel","cell_type"
"getNextPvId()","","CL_2000011","","","UBERON_0002097","dermis lymphatic vessel endothelial cell","cell_type"
"getNextPvId()","","CL_0002620","","","UBERON_0002097","skin fibroblast","cell_type"
"getNextPvId()","","CL_2000013","","","UBERON_0002097","fibroblast of skin of abdomen","cell_type"
"getNextPvId()","","CL_0000003","","","","native cell","cell_type"
"getNextPvId()","","CL_2000020","","","UBERON_0000922","inner cell mass native cell","cell_type"
"getNextPvId()","","CL_2000021","","","UBERON_0002097","sebaceous gland native cell","cell_type"
"getNextPvId()","","CL_2000022","","","UBERON_0000948","cardiac septum native cell","cell_type"
"getNextPvId()","","CL_0000128","","","UBERON_0000955","oligodendrocyte","cell_type"
"getNextPvId()","","CL_2000025","","","UBERON_0000955","spinal cord oligodendrocyte","cell_type"
"getNextPvId()","","CL_0000679","","","","glutamatergic neuron","cell_type"
"getNextPvId()","","CL_2000028","","","UBERON_0000955","cerebellum glutamatergic neuron","cell_type"
"getNextPvId()","","CL_0000022","","","","female germ line stem cell","cell_type"
"getNextPvId()","","CL_0000014","","","","germ line stem cell","cell_type"
"getNextPvId()","","CL_0000540","","","","neuron","cell_type"
"getNextPvId()","","CL_2000029","","","","central nervous system neuron","cell_type"
"getNextPvId()","","CL_2000030","","","UBERON_0000955","hypothalamus native cell","cell_type"
"getNextPvId()","","CL_2000032","","","","peripheral nervous system neuron","cell_type"
"getNextPvId()","","CL_0000057","","","","fibroblast","cell_type"
"getNextPvId()","","CL_2000042","","","UBERON_0000922","embryonic fibroblast","cell_type"
"getNextPvId()","","CL_0000669","","","","pericyte cell","cell_type"
"getNextPvId()","","CL_2000043","","","UBERON_0000955","brain pericyte","cell_type"
"getNextPvId()","","CL_0000023","","","","oocyte","cell_type"
"getNextPvId()","","CL_0000746","","","UBERON_0000948","cardiac muscle cell","cell_type"
"getNextPvId()","","CL_2000046","","","UBERON_0000948","ventricular cardiac muscle cell","cell_type"
"getNextPvId()","","CL_0000100","","","","motor neuron","cell_type"
"getNextPvId()","","CL_2000047","","","UBERON_0000955","brainstem motor neuron","cell_type"
"getNextPvId()","","CL_2000051","","","UBERON_0005057","splenic fibroblast","cell_type"
"getNextPvId()","","CL_1000413","","","","endothelial cell of artery","cell_type"
"getNextPvId()","","CL_2000052","","","UBERON_0002331","umbilical artery endothelial cell","cell_type"
"getNextPvId()","","CL_0000115","","","","endothelial cell","cell_type"
"getNextPvId()","","CL_2000053","","","UBERON_0005057","splenic endothelial cell","cell_type"
"getNextPvId()","","CL_0000451","","","","dendritic cell","cell_type"
"getNextPvId()","","CL_2000055","","","UBERON_0002107","liver dendritic cell","cell_type"
"getNextPvId()","","CL_0000598","","","","pyramidal neuron","cell_type"
"getNextPvId()","","CL_2000056","","","UBERON_0000955","Meynert cell","cell_type"
"getNextPvId()","","CL_0000062","","","","osteoblast","cell_type"
"getNextPvId()","","CL_2000058","","","","calvarial osteoblast","cell_type"
"getNextPvId()","","CL_0000351","","","UBERON_0000922","trophoblast cell","cell_type"
"getNextPvId()","","CL_2000060","","","UBERON_0000922","placental villous trophoblast","cell_type"
"getNextPvId()","","CL_0000134","","","","mesenchymal stem cell","cell_type"
"getNextPvId()","","CL_2000061","","","","placental amniotic mesenchymal stromal cell","cell_type"
"getNextPvId()","","CL_0002144","","","","capillary endothelial cell","cell_type"
"getNextPvId()","","CL_0000670","","","UBERON_0000922","primordial germ cell","cell_type"
"getNextPvId()","","CL_2000062","","","","placental villus capillary endothelial cell","cell_type"
"getNextPvId()","","CL_2000063","","","UBERON_0000991","ovarian fibroblast","cell_type"
"getNextPvId()","","CL_0000066","","","","epithelial cell","cell_type"
"getNextPvId()","","CL_2000064","","","UBERON_0000991","ovarian surface epithelial cell","cell_type"
"getNextPvId()","","CL_0000024","","","","oogonial cell","cell_type"
"getNextPvId()","","CL_2000066","","","UBERON_0000948","cardiac ventricle fibroblast","cell_type"
"getNextPvId()","","CL_2000067","","","UBERON_0000948","cardiac atrium fibroblast","cell_type"
"getNextPvId()","","CL_2000068","","","","pericardium fibroblast","cell_type"
"getNextPvId()","","CL_2000069","","","UBERON_0002110","gallbladder fibroblast","cell_type"
"getNextPvId()","","CL_2000070","","","UBERON_0000970","optic choroid fibroblast","cell_type"
"getNextPvId()","","CL_0000333","","","","migratory neural crest cell","cell_type"
"getNextPvId()","","CL_2000073","","","UBERON_0000922","migratory cardiac neural crest cell","cell_type"
"getNextPvId()","","CL_0000738","","","","leukocyte","cell_type"
"getNextPvId()","","CL_2000074","","","UBERON_0005057","splenocyte","cell_type"
"getNextPvId()","","CL_0000025","","","","egg cell","cell_type"
"getNextPvId()","","CL_0000675","","","","female gamete","cell_type"
"getNextPvId()","","CL_2000078","","","","placental pericyte","cell_type"
"getNextPvId()","","CL_0002570","","","","mesenchymal stem cell of adipose","cell_type"
"getNextPvId()","","CL_2000080","","","","mesenchymal stem cell of abdominal adipose","cell_type"
"getNextPvId()","","CL_1000458","","","UBERON_0002097","melanocyte of skin","cell_type"
"getNextPvId()","","CL_2000081","","","UBERON_0002097","melanocyte of skin of face","cell_type"
"getNextPvId()","","CL_0000160","","","","goblet cell","cell_type"
"getNextPvId()","","CL_2000084","","","UBERON_0000970","conjunctiva goblet cell","cell_type"
"getNextPvId()","","CL_0000842","","","","mononuclear cell","cell_type"
"getNextPvId()","","CL_2000085","","","UBERON_0002331","mononuclear cell of umbilical cord","cell_type"
"getNextPvId()","","CL_0000312","","","UBERON_0002097","keratinocyte","cell_type"
"getNextPvId()","","CL_0000192","","","","smooth muscle cell","cell_type"
"getNextPvId()","","CL_2000092","","","UBERON_0002097","hair follicular keratinocyte","cell_type"
"getNextPvId()","","CL_0002553","","","UBERON_0002048 UBERON_0000065","fibroblast of lung","cell_type"
"getNextPvId()","","CL_2000093","","","UBERON_0002048 UBERON_0000065","bronchus fibroblast of lung","cell_type"
"getNextPvId()","","CL_0000037","","","","hematopoietic stem cell","cell_type"
"getNextPvId()","","CL_2000095","","","UBERON_0000922","cord blood hematopoietic stem cell","cell_type"
"getNextPvId()","","CL_0000700","","","","dopaminergic neuron","cell_type"
"getNextPvId()","","CL_2000097","","","UBERON_0000955","midbrain dopaminergic neuron","cell_type"
"getNextPvId()","","CL_0000067","","","","ciliated epithelial cell","cell_type"
"getNextPvId()","","CL_3000000","","","UBERON_0001043","ciliated epithelial cell of esophagus","cell_type"
"getNextPvId()","","CL_0000111","","","","peripheral neuron","cell_type"
"getNextPvId()","","CL_3000004","","","","peripheral sensory neuron","cell_type"
"getNextPvId()","","CL_0000008","","","","migratory cranial neural crest cell","cell_type"
"getNextPvId()","","CL_0000027","","","","smooth muscle cell neural crest derived","cell_type"
"getNextPvId()","","CL_0002676","","","","neural crest derived neuroblast","cell_type"
"getNextPvId()","","CL_0000029","","","","neuron neural crest derived","cell_type"
"getNextPvId()","","CL_0000133","","","UBERON_0000922","neurectodermal cell","cell_type"
"getNextPvId()","","CL_0000031","","","","neuroblast","cell_type"
"getNextPvId()","","CL_0000034","","","","stem cell","cell_type"
"getNextPvId()","","CL_0000035","","","","single fate stem cell","cell_type"
