IDENTIFIER,CONCEPT_CODE,SHORT_URI,DEFINITION,value,PUBLIC_ID
"getNextPvId()","","MONDO_0004983","","azoospermia","m_infertility_disorder"
"getNextPvId()","","MONDO_0009461","","male infertility due to large-headed multiflagellar polyploid spermatozoa","m_infertility_disorder"
"getNextPvId()","","MONDO_0009776","","spermatogenic failure 1","m_infertility_disorder"
"getNextPvId()","","MONDO_0010052","","spermatogenic failure 4","m_infertility_disorder"
"getNextPvId()","","MONDO_0010595","","Sertoli cell-only syndrome","m_infertility_disorder"
"getNextPvId()","","MONDO_0010647","","spermatogenic failure, X-linked, 2","m_infertility_disorder"
"getNextPvId()","","MONDO_0011720","","spermatogenic failure 3","m_infertility_disorder"
"getNextPvId()","","MONDO_0013070","","spermatogenic failure 7","m_infertility_disorder"
"getNextPvId()","","MONDO_0013504","","spermatogenic failure 8","m_infertility_disorder"
"getNextPvId()","","MONDO_0013505","","spermatogenic failure 9","m_infertility_disorder"
"getNextPvId()","","MONDO_0013901","","spermatogenic failure 10","m_infertility_disorder"
"getNextPvId()","","MONDO_0014037","","spermatogenic failure 11","m_infertility_disorder"
"getNextPvId()","","MONDO_0014172","","spermatogenic failure 12","m_infertility_disorder"
"getNextPvId()","","MONDO_0014365","","spermatogenic failure 13","m_infertility_disorder"
"getNextPvId()","","MONDO_0014366","","spermatogenic failure 14","m_infertility_disorder"
"getNextPvId()","","MONDO_0014847","","spermatogenic failure 15","m_infertility_disorder"
"getNextPvId()","","MONDO_0014961","","spermatogenic failure 16","m_infertility_disorder"
"getNextPvId()","","MONDO_0014970","","spermatogenic failure 17","m_infertility_disorder"
"getNextPvId()","","MONDO_0020851","","spermatogenic failure 30","m_infertility_disorder"
"getNextPvId()","","MONDO_0020852","","spermatogenic failure 31","m_infertility_disorder"
"getNextPvId()","","MONDO_0020855","","spermatogenic failure 32","m_infertility_disorder"
"getNextPvId()","","MONDO_0029147","","spermatogenic failure 33","m_infertility_disorder"
"getNextPvId()","","MONDO_0029148","","spermatogenic failure 34","m_infertility_disorder"
"getNextPvId()","","MONDO_0054615","","spermatogenic failure 18","m_infertility_disorder"
"getNextPvId()","","MONDO_0054723","","spermatogenic failure 19","m_infertility_disorder"
"getNextPvId()","","MONDO_0054724","","spermatogenic failure 20","m_infertility_disorder"
"getNextPvId()","","MONDO_0054725","","spermatogenic failure 21","m_infertility_disorder"
"getNextPvId()","","MONDO_0054726","","spermatogenic failure 22","m_infertility_disorder"
"getNextPvId()","","MONDO_0054727","","spermatogenic failure 23","m_infertility_disorder"
"getNextPvId()","","MONDO_0054728","","spermatogenic failure 24","m_infertility_disorder"
"getNextPvId()","","MONDO_0054729","","spermatogenic failure 25","m_infertility_disorder"
"getNextPvId()","","MONDO_0054730","","spermatogenic failure 26","m_infertility_disorder"
"getNextPvId()","","MONDO_0054731","","spermatogenic failure 27","m_infertility_disorder"
"getNextPvId()","","MONDO_0054732","","spermatogenic failure 28","m_infertility_disorder"
"getNextPvId()","","MONDO_0054733","","spermatogenic failure 29","m_infertility_disorder"
"getNextPvId()","","MONDO_0056795","","X-linked spermatogenic failure 1","m_infertility_disorder"
"getNextPvId()","","MONDO_0007060","","spermatogenic failure 6","m_infertility_disorder"
"getNextPvId()","","MONDO_0007161","","SPGF2","m_infertility_disorder"
"getNextPvId()","","MONDO_0001877","","infertility due to extratesticular cause","m_infertility_disorder"
"getNextPvId()","","MONDO_0001913","","oligospermia","m_infertility_disorder"
"getNextPvId()","","MONDO_0018386","","rare male infertility due to hypothalamic-pituitary-gonadal axis disorder","m_infertility_disorder"
"getNextPvId()","","MONDO_0018387","","rare male infertility due to adrenal disorder","m_infertility_disorder"
"getNextPvId()","","MONDO_0018389","","male infertility due to gonadal dysgenesis or sperm disorder","m_infertility_disorder"
"getNextPvId()","","MONDO_0020090","","male infertility due to gonadal dysgenesis","m_infertility_disorder"
"getNextPvId()","","MONDO_0016674","","46,XY partial gonadal dysgenesis","m_infertility_disorder"
"getNextPvId()","","MONDO_0014239","","testicular anomalies with or without congenital heart disease","m_infertility_disorder"
"getNextPvId()","","MONDO_0010107","","testicular regression syndrome","m_infertility_disorder"
"getNextPvId()","","MONDO_0017967","","testicular agenesis","m_infertility_disorder"
"getNextPvId()","","MONDO_0018390","","male infertility due to sperm disorder","m_infertility_disorder"
"getNextPvId()","","MONDO_0018395","","male infertility due to sperm motility disorder","m_infertility_disorder"
"getNextPvId()","","MONDO_0017173","","non-syndromic male infertility due to sperm motility disorder","m_infertility_disorder"
"getNextPvId()","","MONDO_0018391","","male infertility with spermatogenesis disorder","m_infertility_disorder"
"getNextPvId()","","MONDO_0018392","","male infertility with spermatogenesis disorder due to single gene mutation","m_infertility_disorder"
"getNextPvId()","","MONDO_0018394","","male infertility with teratozoospermia due to single gene mutation","m_infertility_disorder"
"getNextPvId()","","MONDO_0015746","","male infertility due to globozoospermia","m_infertility_disorder"
"getNextPvId()","","MONDO_0018393","","male infertility with azoospermia or oligozoospermia due to single gene mutation","m_infertility_disorder"
"getNextPvId()","","MONDO_0020091","","male infertility due to obstructive azoospermia","m_infertility_disorder"
"getNextPvId()","","MONDO_0018396","","rare male fertility disorder with obstructive azoospermia","m_infertility_disorder"
"getNextPvId()","","MONDO_0005124","","leprosy","m_infertility_disorder"
"getNextPvId()","","MONDO_0001391","","indeterminate leprosy","m_infertility_disorder"
"getNextPvId()","","MONDO_0011860","","LPRS2","m_infertility_disorder"
"getNextPvId()","","MONDO_0012358","","LPRS1","m_infertility_disorder"
