IDENTIFIER,CONCEPT_CODE,SHORT_URI,DEFINITION,DESCRIPTORS,PARENTS,value,PUBLIC_ID
"getNextPvId()","","UBERON_0000955","","","UBERON_0000955","brain","organ_type"
"getNextPvId()","","UBERON_0008823","","","UBERON_0000955","neural tube derived brain","organ_type"
"getNextPvId()","","UBERON_0008334","","","UBERON_0000955","subarachnoid sulcus","organ_type"
"getNextPvId()","","UBERON_0022252","","UBERON_0000064","UBERON_0000955","precentral sulcus","organ_type"
"getNextPvId()","","UBERON_0002764","","UBERON_0000064","UBERON_0000955","inferior precentral sulcus","organ_type"
"getNextPvId()","","UBERON_0002905","","UBERON_0000064","UBERON_0000955","intralingual sulcus","organ_type"
"getNextPvId()","","UBERON_0035925","","UBERON_0000064","UBERON_0000955","central sulcus of insula","organ_type"
"getNextPvId()","","UBERON_0002569","","UBERON_0000064","UBERON_0000955","transverse temporal sulcus","organ_type"
"getNextPvId()","","UBERON_0002595","","UBERON_0000064","UBERON_0000955","orbital sulcus","organ_type"
"getNextPvId()","","UBERON_0002612","","UBERON_0000064","UBERON_0000955","transverse orbital sulcus","organ_type"
"getNextPvId()","","UBERON_0002721","","UBERON_0000064","UBERON_0000955","lateral sulcus","organ_type"
"getNextPvId()","","UBERON_0002669","","UBERON_0000064","UBERON_0000955","anterior horizontal limb of lateral sulcus","organ_type"
"getNextPvId()","","UBERON_0002670","","UBERON_0000064","UBERON_0000955","anterior ascending limb of lateral sulcus","organ_type"
"getNextPvId()","","UBERON_0002910","","UBERON_0000064","UBERON_0000955","posterior ascending limb of lateral sulcus","organ_type"
"getNextPvId()","","UBERON_0002672","","UBERON_0000064","UBERON_0000955","anterior subcentral sulcus","organ_type"
"getNextPvId()","","UBERON_0002675","","UBERON_0000064","UBERON_0000955","diagonal sulcus","organ_type"
"getNextPvId()","","UBERON_0002693","","","UBERON_0000955","occipitotemporal sulcus","organ_type"
"getNextPvId()","","UBERON_0002695","","","UBERON_0000955","parieto-occipital sulcus","organ_type"
"getNextPvId()","","UBERON_0002710","","","UBERON_0000955","cingulate sulcus","organ_type"
"getNextPvId()","","UBERON_0002912","","","UBERON_0000955","marginal sulcus","organ_type"
"getNextPvId()","","UBERON_0002713","","UBERON_0000064","UBERON_0000955","circular sulcus of insula","organ_type"
"getNextPvId()","","UBERON_0002716","","","UBERON_0000955","collateral sulcus","organ_type"
"getNextPvId()","","UBERON_0002737","","","UBERON_0000955","lateral inferior limiting sulcus","organ_type"
"getNextPvId()","","UBERON_0002799","","UBERON_0000064","UBERON_0000955","fronto-orbital sulcus","organ_type"
"getNextPvId()","","UBERON_0002899","","","UBERON_0000955","hippocampal sulcus","organ_type"
"getNextPvId()","","UBERON_0002903","","UBERON_0000064","UBERON_0000955","lunate sulcus","organ_type"
"getNextPvId()","","UBERON_0002906","","UBERON_0000064","UBERON_0000955","anterior occipital sulcus","organ_type"
"getNextPvId()","","UBERON_0002914","","","UBERON_0000955","inferior postcentral sulcus","organ_type"
"getNextPvId()","","UBERON_0002919","","","UBERON_0000955","anterior parolfactory sulcus","organ_type"
"getNextPvId()","","UBERON_0002923","","","UBERON_0000955","posterior parolfactory sulcus","organ_type"
"getNextPvId()","","UBERON_0002920","","","UBERON_0000955","callosal sulcus","organ_type"
"getNextPvId()","","UBERON_0008335","","UBERON_0000064","UBERON_0000955","ventrolateral sulcus of medulla oblongata","organ_type"
"getNextPvId()","","UBERON_0014466","","","UBERON_0000955","subarachnoid fissure","organ_type"
"getNextPvId()","","UBERON_0035319","","","UBERON_0000955","anterior median fissure of spinal cord","organ_type"
"getNextPvId()","","UBERON_0003980","","UBERON_0000064","UBERON_0000955","cerebellum fissure","organ_type"
"getNextPvId()","","UBERON_0035922","","UBERON_0000064","UBERON_0000955","intraculminate fissure of cerebellum","organ_type"
"getNextPvId()","","UBERON_0035926","","UBERON_0000064","UBERON_0000955","preculminate fissure of cerebellum","organ_type"
"getNextPvId()","","UBERON_0014473","","UBERON_0000064","UBERON_0000955","precentral fissure of cerebellum","organ_type"
"getNextPvId()","","UBERON_0002566","","UBERON_0000064","UBERON_0000955","superior precentral sulcus","organ_type"
"getNextPvId()","","UBERON_0002814","","UBERON_0000064","UBERON_0000955","posterior superior fissure of cerebellum","organ_type"
"getNextPvId()","","UBERON_0002815","","UBERON_0000064","UBERON_0000955","horizontal fissure of cerebellum","organ_type"
"getNextPvId()","","UBERON_0002816","","UBERON_0000064","UBERON_0000955","prepyramidal fissure of cerebellum","organ_type"
"getNextPvId()","","UBERON_0002817","","UBERON_0000064","UBERON_0000955","secondary fissure of cerebellum","organ_type"
"getNextPvId()","","UBERON_0002818","","UBERON_0000064","UBERON_0000955","posterolateral fissure of cerebellum","organ_type"
"getNextPvId()","","UBERON_0014468","","UBERON_0000064","UBERON_0000955","ansoparamedian fissure of cerebellum","organ_type"
"getNextPvId()","","UBERON_0014471","","UBERON_0000064","UBERON_0000955","primary fissure of cerebellum","organ_type"
"getNextPvId()","","UBERON_0014474","","UBERON_0000064","UBERON_0000955","postcentral fissure of cerebellum","organ_type"
