"IDENTIFIER","CONCEPT_CODE","DEFINITION","value","PUBLIC_ID"
"getNextPvId","","","supraglottic part of larynx","organ_part"
"getNextPvId","","","mediastinal pleura","organ_part"
"getNextPvId","","","sac of scrotum","organ_part"
"getNextPvId","","","orbital margin","organ_part"
"getNextPvId","","","orbital pillar","organ_part"
"getNextPvId","","","lymphatic valve","organ_part"
"getNextPvId","","","jugular bulb","organ_part"
"getNextPvId","","","superior bulb of internal jugular vein","organ_part"
"getNextPvId","","","inferior bulb of internal jugular vein","organ_part"
"getNextPvId","","","parotid gland intercalated duct","organ_part"
"getNextPvId","","","parotid gland striated duct","organ_part"
"getNextPvId","","","fauces","organ_part"
"getNextPvId","","","abdominal part of esophagus","organ_part"
"getNextPvId","","","basal zone of heart","organ_part"
"getNextPvId","","","thoracic part of esophagus","organ_part"
"getNextPvId","","","posterior wall of oropharynx","organ_part"
"getNextPvId","","","roof of nasopharynx","organ_part"
"getNextPvId","","","epigastrium","organ_part"
"getNextPvId","","","lateral wall of oropharynx","organ_part"
"getNextPvId","","","tuberculum sellae","organ_part"
"getNextPvId","","","posterior wall of laryngopharynx","organ_part"
"getNextPvId","","","base of prostate","organ_part"
"getNextPvId","","","transverse fold of rectum","organ_part"
"getNextPvId","","","lateral wall of nasopharynx","organ_part"
"getNextPvId","","","posterior wall of nasopharynx","organ_part"
"getNextPvId","","","diaphragma sellae","organ_part"
"getNextPvId","","","falx cerebelli","organ_part"
"getNextPvId","","","cervical part of esophagus","organ_part"
"getNextPvId","","","laryngeal ventricle","organ_part"
"getNextPvId","","","costodiaphragmatic recess","organ_part"
"getNextPvId","","","body of gallbladder","organ_part"
"getNextPvId","","","outer root sheath companion layer","organ_part"
"getNextPvId","","","median lobe of prostate","organ_part"
"getNextPvId","","","lower esophagus muscularis layer","organ_part"
"getNextPvId","","","lower esophagus mucosa","organ_part"
"getNextPvId","","","apical region of heart ventricle","organ_part"
"getNextPvId","","","esophagogastric junction mucosa","organ_part"
"getNextPvId","","","esophagogastric junction submucosa","organ_part"
"getNextPvId","","","esophagogastric junction muscularis propria","organ_part"
"getNextPvId","","","lower esophagus submucosa","organ_part"
"getNextPvId","","","infraorbital margin","organ_part"
"getNextPvId","","","infraorbital bridge","organ_part"
"getNextPvId","","","subchondral region of epiphysis","organ_part"
"getNextPvId","","","antotic pillar","organ_part"
"getNextPvId","","","preoptic pillar","organ_part"
"getNextPvId","","","supravaginal part of cervix","organ_part"
"getNextPvId","","","promontory of tympanic cavity","organ_part"
"getNextPvId","","","scleral lamina cribrosa","organ_part"
"getNextPvId","","","alveolar mucosa","organ_part"
"getNextPvId","","","castor sac","organ_part"
"getNextPvId","","","subglottis","organ_part"
"getNextPvId","","","suprapubic skin","organ_part"
"getNextPvId","","","Sattler's layer","organ_part"
"getNextPvId","","","Haller's layer","organ_part"
"getNextPvId","","","actinopterygian pyloric caecum","organ_part"
"getNextPvId","","","glenoid end of clavicle","organ_part"
"getNextPvId","","","uterine cervix","organ_part"
"getNextPvId","","","cutaneous appendage","organ_part"
"getNextPvId","","","tendon sheath","organ_part"
"getNextPvId","","","apocrine sweat gland","organ_part"
"getNextPvId","","","epiglottis","organ_part"
"getNextPvId","","","eccrine sweat gland","organ_part"
"getNextPvId","","","endocervix","organ_part"
"getNextPvId","","","cardial valve","organ_part"
"getNextPvId","","","strand of hair","organ_part"
"getNextPvId","","","body of pancreas","organ_part"
"getNextPvId","","","ascending colon","organ_part"
"getNextPvId","","","transverse colon","organ_part"
"getNextPvId","","","body of stomach","organ_part"
"getNextPvId","","","common bile duct","organ_part"
"getNextPvId","","","renal pelvis","organ_part"
"getNextPvId","","","adrenal cortex","organ_part"
"getNextPvId","","","myometrium","organ_part"
"getNextPvId","","","upper respiratory tract","organ_part"
"getNextPvId","","","nasopharynx","organ_part"
"getNextPvId","","","oropharynx","organ_part"
"getNextPvId","","","uvea","organ_part"
"getNextPvId","","","sebaceous gland","organ_part"
"getNextPvId","","","gingiva","organ_part"
"getNextPvId","","","cerebral hemisphere","organ_part"
"getNextPvId","","","temporal lobe","organ_part"
"getNextPvId","","","occipital lobe","organ_part"
"getNextPvId","","","dermis","organ_part"
"getNextPvId","","","mitral valve","organ_part"
"getNextPvId","","","aortic valve","organ_part"
"getNextPvId","","","pulmonary valve","organ_part"
"getNextPvId","","","telencephalic ventricle","organ_part"
"getNextPvId","","","third ventricle","organ_part"
"getNextPvId","","","myocardium","organ_part"
"getNextPvId","","","mesonephric duct","organ_part"
"getNextPvId","","","intrahepatic bile duct","organ_part"
"getNextPvId","","","brain ventricle","organ_part"
"getNextPvId","","","clivus of occipital bone","organ_part"
"getNextPvId","","","falx cerebri","organ_part"
"getNextPvId","","","buccal mucosa","organ_part"
"getNextPvId","","","pancreatic duct","organ_part"
"getNextPvId","","","hepatic flexure of colon","organ_part"
"getNextPvId","","","zone of skin","organ_part"
"getNextPvId","","","large intestine","organ_part"
"getNextPvId","","","mouth","organ_part"
"getNextPvId","","","retina","organ_part"
"getNextPvId","","","uterus","organ_part"
"getNextPvId","","","vagina","organ_part"
"getNextPvId","","","esophagus","organ_part"
"getNextPvId","","","rectum","organ_part"
"getNextPvId","","","caecum","organ_part"
"getNextPvId","","","colon","organ_part"
"getNextPvId","","","descending colon","organ_part"
"getNextPvId","","","sigmoid colon","organ_part"
"getNextPvId","","","fundus of stomach","organ_part"
"getNextPvId","","","cardia of stomach","organ_part"
"getNextPvId","","","pyloric antrum","organ_part"
"getNextPvId","","","pylorus","organ_part"
"getNextPvId","","","trigone of urinary bladder","organ_part"
"getNextPvId","","","neck of urinary bladder","organ_part"
"getNextPvId","","","endometrium","organ_part"
"getNextPvId","","","glans penis","organ_part"
"getNextPvId","","","epididymis","organ_part"
"getNextPvId","","","lower respiratory tract","organ_part"
"getNextPvId","","","nail","organ_part"
"getNextPvId","","","eyelid","organ_part"
"getNextPvId","","","larynx","organ_part"
"getNextPvId","","","conjunctiva","organ_part"
"getNextPvId","","","sweat gland","organ_part"
"getNextPvId","","","parietal lobe","organ_part"
"getNextPvId","","","small intestine","organ_part"
"getNextPvId","","","duodenum","organ_part"
"getNextPvId","","","jejunum","organ_part"
"getNextPvId","","","ileum","organ_part"
"getNextPvId","","","tricuspid valve","organ_part"
"getNextPvId","","","endocardium","organ_part"
"getNextPvId","","","bile duct","organ_part"
"getNextPvId","","","extrahepatic bile duct","organ_part"
"getNextPvId","","","fallopian tube","organ_part"
"getNextPvId","","","labium minora","organ_part"
"getNextPvId","","","labium majora","organ_part"
"getNextPvId","","","hepatopancreatic ampulla","organ_part"
"getNextPvId","","","pharynx","organ_part"
"getNextPvId","","","olecranon","organ_part"
"getNextPvId","","","body of uterus","organ_part"
"getNextPvId","","","perianal skin","organ_part"
"getNextPvId","","","chest wall","organ_part"
"getNextPvId","","","frontal lobe","organ_part"
"getNextPvId","","","splenic flexure of colon","organ_part"
"getNextPvId","","","blood sinus of vibrissa","organ_part"
"getNextPvId","","","parotid gland intralobular duct","organ_part"
"getNextPvId","","","parotid gland excretory duct","organ_part"
"getNextPvId","","","parotid gland interlobular duct","organ_part"
"getNextPvId","","","glans","organ_part"
"getNextPvId","","","submucosa","organ_part"
"getNextPvId","","","feather","organ_part"
"getNextPvId","","","lamina propria","organ_part"
"getNextPvId","","","lamina propria of trachea","organ_part"
"getNextPvId","","","primary ovarian follicle","organ_part"
"getNextPvId","","","secondary ovarian follicle","organ_part"
"getNextPvId","","","tertiary ovarian follicle","organ_part"
"getNextPvId","","","macula lutea","organ_part"
"getNextPvId","","","duct","organ_part"
"getNextPvId","","","anatomical wall","organ_part"
"getNextPvId","","","organ subunit","organ_part"
"getNextPvId","","","proximo-distal subdivision of respiratory tract","organ_part"
"getNextPvId","","","renal glomerulus","organ_part"
"getNextPvId","","","lobe of lung","organ_part"
"getNextPvId","","","lung saccule","organ_part"
"getNextPvId","","","trochlea of humerus","organ_part"
"getNextPvId","","","theca externa","organ_part"
"getNextPvId","","","theca interna","organ_part"
"getNextPvId","","","membranous layer","organ_part"
"getNextPvId","","","cloaca","organ_part"
"getNextPvId","","","embryonic cloaca","organ_part"
"getNextPvId","","","proximal-distal subdivision of colon","organ_part"
"getNextPvId","","","neck of radius","organ_part"
"getNextPvId","","","toilet claw","organ_part"
"getNextPvId","","","amnion","organ_part"
"getNextPvId","","","inner cambium layer of periosteum","organ_part"
"getNextPvId","","","cecum mucosa","organ_part"
"getNextPvId","","","colonic mucosa","organ_part"
"getNextPvId","","","duodenal mucosa","organ_part"
"getNextPvId","","","gut wall","organ_part"
"getNextPvId","","","hair root","organ_part"
"getNextPvId","","","ileal mucosa","organ_part"
"getNextPvId","","","mucosa","organ_part"
"getNextPvId","","","parenchyma","organ_part"
"getNextPvId","","","pharyngeal mucosa","organ_part"
"getNextPvId","","","preputial gland","organ_part"
"getNextPvId","","","tracheal mucosa","organ_part"
"getNextPvId","","","lens nucleus","organ_part"
"getNextPvId","","","vallate papilla","organ_part"
"getNextPvId","","","jejunal mucosa","organ_part"
"getNextPvId","","","mandibular ramus","organ_part"
"getNextPvId","","","bronchial mucosa","organ_part"
"getNextPvId","","","artery wall","organ_part"
"getNextPvId","","","arachnoid barrier layer","organ_part"
"getNextPvId","","","arachnoid trabecula","organ_part"
"getNextPvId","","","trabecula","organ_part"
"getNextPvId","","","corpus albicans","organ_part"
"getNextPvId","","","cerebral subcortex","organ_part"
"getNextPvId","","","uterine wall","organ_part"
"getNextPvId","","","ileocecal valve","organ_part"
"getNextPvId","","","stomodeum","organ_part"
"getNextPvId","","","trochanter","organ_part"
"getNextPvId","","","ejaculatory duct","organ_part"
"getNextPvId","","","vas deferens","organ_part"
"getNextPvId","","","diaphysis of ulna","organ_part"
"getNextPvId","","","head of radius","organ_part"
"getNextPvId","","","diaphysis of radius","organ_part"
"getNextPvId","","","yolk sac","organ_part"
"getNextPvId","","","foregut","organ_part"
"getNextPvId","","","chordate pharynx","organ_part"
"getNextPvId","","","midgut","organ_part"
"getNextPvId","","","hindgut","organ_part"
"getNextPvId","","","hypopharynx","organ_part"
"getNextPvId","","","ventral pancreatic duct","organ_part"
"getNextPvId","","","parotid main excretory duct","organ_part"
"getNextPvId","","","skin of back","organ_part"
"getNextPvId","","","head of pancreas","organ_part"
"getNextPvId","","","endocardium of ventricle","organ_part"
"getNextPvId","","","myocardium of ventricle","organ_part"
"getNextPvId","","","skin of head","organ_part"
"getNextPvId","","","skin of trunk","organ_part"
"getNextPvId","","","wall of esophagus","organ_part"
"getNextPvId","","","lobe of liver","organ_part"
"getNextPvId","","","quadrate lobe of liver","organ_part"
"getNextPvId","","","caudate lobe of liver","organ_part"
"getNextPvId","","","lobe of thyroid gland","organ_part"
"getNextPvId","","","tail of pancreas","organ_part"
"getNextPvId","","","cystic duct","organ_part"
"getNextPvId","","","lesser curvature of stomach","organ_part"
"getNextPvId","","","greater curvature of stomach","organ_part"
"getNextPvId","","","wall of stomach","organ_part"
"getNextPvId","","","wall of small intestine","organ_part"
"getNextPvId","","","wall of large intestine","organ_part"
"getNextPvId","","","portal lobule","organ_part"
"getNextPvId","","","common hepatic duct","organ_part"
"getNextPvId","","","visceral peritoneum","organ_part"
"getNextPvId","","","mucosa of stomach","organ_part"
"getNextPvId","","","submucosa of stomach","organ_part"
"getNextPvId","","","mucosa of small intestine","organ_part"
"getNextPvId","","","submucosa of small intestine","organ_part"
"getNextPvId","","","mucosa of large intestine","organ_part"
"getNextPvId","","","submucosa of large intestine","organ_part"
"getNextPvId","","","intestinal villus","organ_part"
"getNextPvId","","","cortex of kidney","organ_part"
"getNextPvId","","","major calyx","organ_part"
"getNextPvId","","","minor calyx","organ_part"
"getNextPvId","","","renal papilla","organ_part"
"getNextPvId","","","renal corpuscle","organ_part"
"getNextPvId","","","glomerular capsule","organ_part"
"getNextPvId","","","lamina propria of small intestine","organ_part"
"getNextPvId","","","intestinal mucosa","organ_part"
"getNextPvId","","","internal anal sphincter","organ_part"
"getNextPvId","","","interlobular bile duct","organ_part"
"getNextPvId","","","red pulp of spleen","organ_part"
"getNextPvId","","","marginal zone of spleen","organ_part"
"getNextPvId","","","adventitia of ureter","organ_part"
"getNextPvId","","","lamina propria of ureter","organ_part"
"getNextPvId","","","wall of urinary bladder","organ_part"
"getNextPvId","","","mucosa of urinary bladder","organ_part"
"getNextPvId","","","lamina propria of urinary bladder","organ_part"
"getNextPvId","","","wall of intestine","organ_part"
"getNextPvId","","","trabecula of spleen","organ_part"
"getNextPvId","","","splenic cord","organ_part"
"getNextPvId","","","acetabular part of hip bone","organ_part"
"getNextPvId","","","innominate bone","organ_part"
"getNextPvId","","","ilium","organ_part"
"getNextPvId","","","ischium","organ_part"
"getNextPvId","","","pubis","organ_part"
"getNextPvId","","","liver parenchyma","organ_part"
"getNextPvId","","","intralobular bile duct","organ_part"
"getNextPvId","","","renal column","organ_part"
"getNextPvId","","","nephron","organ_part"
"getNextPvId","","","outer medulla of kidney","organ_part"
"getNextPvId","","","inner medulla of kidney","organ_part"
"getNextPvId","","","ovarian follicle","organ_part"
"getNextPvId","","","capsule of ovary","organ_part"
"getNextPvId","","","lobe of prostate","organ_part"
"getNextPvId","","","prostate gland anterior lobe","organ_part"
"getNextPvId","","","skin of penis","organ_part"
"getNextPvId","","","prostatic urethra","organ_part"
"getNextPvId","","","spongiose part of urethra","organ_part"
"getNextPvId","","","lesser sac","organ_part"
"getNextPvId","","","seminiferous tubule of testis","organ_part"
"getNextPvId","","","vaginal hymen","organ_part"
"getNextPvId","","","lacrimal sac","organ_part"
"getNextPvId","","","parietal peritoneum","organ_part"
"getNextPvId","","","skin of pelvis","organ_part"
"getNextPvId","","","skin of abdomen","organ_part"
"getNextPvId","","","skin of neck","organ_part"
"getNextPvId","","","skin of thorax","organ_part"
"getNextPvId","","","skin of limb","organ_part"
"getNextPvId","","","epiphysis","organ_part"
"getNextPvId","","","metaphysis","organ_part"
"getNextPvId","","","skin of eyelid","organ_part"
"getNextPvId","","","skin of lip","organ_part"
"getNextPvId","","","skin of external ear","organ_part"
"getNextPvId","","","skin of prepuce of penis","organ_part"
"getNextPvId","","","skin of shoulder","organ_part"
"getNextPvId","","","ascending aorta","organ_part"
"getNextPvId","","","arch of aorta","organ_part"
"getNextPvId","","","skin of knee","organ_part"
"getNextPvId","","","skin of leg","organ_part"
"getNextPvId","","","skin of ankle","organ_part"
"getNextPvId","","","skin of pes","organ_part"
"getNextPvId","","","descending aorta","organ_part"
"getNextPvId","","","thoracic aorta","organ_part"
"getNextPvId","","","abdominal aorta","organ_part"
"getNextPvId","","","skin of elbow","organ_part"
"getNextPvId","","","skin of wrist","organ_part"
"getNextPvId","","","skin of manus","organ_part"
"getNextPvId","","","skin of hip","organ_part"
"getNextPvId","","","neck of organ","organ_part"
"getNextPvId","","","isthmus of thyroid gland","organ_part"
"getNextPvId","","","petrous part of temporal bone","organ_part"
"getNextPvId","","","eyelash","organ_part"
"getNextPvId","","","upper eyelid","organ_part"
"getNextPvId","","","lower eyelid","organ_part"
"getNextPvId","","","papilla of tongue","organ_part"
"getNextPvId","","","capsule of thyroid gland","organ_part"
"getNextPvId","","","parenchyma of thyroid gland","organ_part"
"getNextPvId","","","capsule of parathyroid gland","organ_part"
"getNextPvId","","","parenchyma of parathyroid gland","organ_part"
"getNextPvId","","","distal part of styloid process of temporal bone","organ_part"
"getNextPvId","","","turbinate bone","organ_part"
"getNextPvId","","","mammary duct","organ_part"
"getNextPvId","","","anterior chamber of eyeball","organ_part"
"getNextPvId","","","posterior chamber of eyeball","organ_part"
"getNextPvId","","","sclera","organ_part"
"getNextPvId","","","substantia propria of cornea","organ_part"
"getNextPvId","","","iris stroma","organ_part"
"getNextPvId","","","optic disc","organ_part"
"getNextPvId","","","fovea centralis","organ_part"
"getNextPvId","","","vitreous chamber of eyeball","organ_part"
"getNextPvId","","","anterior segment of eyeball","organ_part"
"getNextPvId","","","posterior segment of eyeball","organ_part"
