IDENTIFIER,CONCEPT_CODE,DEFINITION,PARENT_IDENTIFIER,value
getNextPvId(),,,"getPvParentId('protocol_type', 'Aggregate generation protocol')","HCEFPR_AGG00001"
getNextPvId(),,,"getPvParentId('protocol_type', 'Aggregate generation protocol')","HCEFPR_AGG00002"
getNextPvId(),,,"getPvParentId('protocol_type', 'Aggregate generation protocol')","HCEFPR_AGG00003"
getNextPvId(),,,"getPvParentId('protocol_type', 'Aggregate generation protocol')","HCEFPR_AGG00004"
getNextPvId(),,,"getPvParentId('protocol_type', 'Aggregate generation protocol')","HCEFPR_AGG00005"
getNextPvId(),,,"getPvParentId('protocol_type', 'Analysis protocol')","HCEFPR_ANA00001"
getNextPvId(),,,"getPvParentId('protocol_type', 'Analysis protocol')","HCEFPR_ANA00002"
getNextPvId(),,,"getPvParentId('protocol_type', 'Analysis protocol')","HCEFPR_ANA00003"
getNextPvId(),,,"getPvParentId('protocol_type', 'Analysis protocol')","HCEFPR_ANA00004"
getNextPvId(),,,"getPvParentId('protocol_type', 'Analysis protocol')","HCEFPR_ANA00005"
getNextPvId(),,,"getPvParentId('protocol_type', 'Collection protocol')","HCEFPR_COL00001"
getNextPvId(),,,"getPvParentId('protocol_type', 'Collection protocol')","HCEFPR_COL00002"
getNextPvId(),,,"getPvParentId('protocol_type', 'Collection protocol')","HCEFPR_COL00003"
getNextPvId(),,,"getPvParentId('protocol_type', 'Collection protocol')","HCEFPR_COL00004"
getNextPvId(),,,"getPvParentId('protocol_type', 'Collection protocol')","HCEFPR_COL00005"
getNextPvId(),,,"getPvParentId('protocol_type', 'Differentiation protocol')","HCEFPR_DIF00001"
getNextPvId(),,,"getPvParentId('protocol_type', 'Differentiation protocol')","HCEFPR_DIF00002"
getNextPvId(),,,"getPvParentId('protocol_type', 'Differentiation protocol')","HCEFPR_DIF00003"
getNextPvId(),,,"getPvParentId('protocol_type', 'Differentiation protocol')","HCEFPR_DIF00004"
getNextPvId(),,,"getPvParentId('protocol_type', 'Differentiation protocol')","HCEFPR_DIF00005"
getNextPvId(),,,"getPvParentId('protocol_type', 'Dissociation protocol')","HCEFPR_DIS00001"
getNextPvId(),,,"getPvParentId('protocol_type', 'Dissociation protocol')","HCEFPR_DIS00002"
getNextPvId(),,,"getPvParentId('protocol_type', 'Dissociation protocol')","HCEFPR_DIS00003"
getNextPvId(),,,"getPvParentId('protocol_type', 'Dissociation protocol')","HCEFPR_DIS00004"
getNextPvId(),,,"getPvParentId('protocol_type', 'Dissociation protocol')","HCEFPR_DIS00005"
getNextPvId(),,,"getPvParentId('protocol_type', 'Enrichment protocol')","HCEFPR_ENR00001"
getNextPvId(),,,"getPvParentId('protocol_type', 'Enrichment protocol')","HCEFPR_ENR00002"
getNextPvId(),,,"getPvParentId('protocol_type', 'Enrichment protocol')","HCEFPR_ENR00003"
getNextPvId(),,,"getPvParentId('protocol_type', 'Enrichment protocol')","HCEFPR_ENR00004"
getNextPvId(),,,"getPvParentId('protocol_type', 'Enrichment protocol')","HCEFPR_ENR00005"
getNextPvId(),,,"getPvParentId('protocol_type', 'Imaging preparation protocol')","HCEFPR_IMG00001"
getNextPvId(),,,"getPvParentId('protocol_type', 'Imaging preparation protocol')","HCEFPR_IMG00002"
getNextPvId(),,,"getPvParentId('protocol_type', 'Imaging preparation protocol')","HCEFPR_IMG00003"
getNextPvId(),,,"getPvParentId('protocol_type', 'Imaging preparation protocol')","HCEFPR_IMG00004"
getNextPvId(),,,"getPvParentId('protocol_type', 'Imaging preparation protocol')","HCEFPR_IMG00005"
getNextPvId(),,,"getPvParentId('protocol_type', 'iPSC induction protocol')","HCEFPR_IPS00001"
getNextPvId(),,,"getPvParentId('protocol_type', 'iPSC induction protocol')","HCEFPR_IPS00002"
getNextPvId(),,,"getPvParentId('protocol_type', 'iPSC induction protocol')","HCEFPR_IPS00003"
getNextPvId(),,,"getPvParentId('protocol_type', 'iPSC induction protocol')","HCEFPR_IPS00004"
getNextPvId(),,,"getPvParentId('protocol_type', 'iPSC induction protocol')","HCEFPR_IPS00005"
getNextPvId(),,,"getPvParentId('protocol_type', 'Library preparation protocol')","HCEFPR_LIB00001"
getNextPvId(),,,"getPvParentId('protocol_type', 'Library preparation protocol')","HCEFPR_LIB00002"
getNextPvId(),,,"getPvParentId('protocol_type', 'Library preparation protocol')","HCEFPR_LIB00003"
getNextPvId(),,,"getPvParentId('protocol_type', 'Library preparation protocol')","HCEFPR_LIB00004"
getNextPvId(),,,"getPvParentId('protocol_type', 'Library preparation protocol')","HCEFPR_LIB00005"
getNextPvId(),,,"getPvParentId('protocol_type', 'Sequencing protocol')","HCEFPR_SEQ00001"
getNextPvId(),,,"getPvParentId('protocol_type', 'Sequencing protocol')","HCEFPR_SEQ00002"
getNextPvId(),,,"getPvParentId('protocol_type', 'Sequencing protocol')","HCEFPR_SEQ00003"
getNextPvId(),,,"getPvParentId('protocol_type', 'Sequencing protocol')","HCEFPR_SEQ00004"
getNextPvId(),,,"getPvParentId('protocol_type', 'Sequencing protocol')","HCEFPR_SEQ00005"
