"IDENTIFIER","CONCEPT_CODE","DEFINITION","value","PUBLIC_ID"
"getNextPvId()","AGG","","Aggregate generation protocol","protocol_type"
"getNextPvId()","ANA","","Analysis protocol","protocol_type"
"getNextPvId()","COL","","Collection protocol","protocol_type"
"getNextPvId()","DIF","","Differentiation protocol","protocol_type"
"getNextPvId()","DIS","","Dissociation protocol","protocol_type"
"getNextPvId()","ENR","","Enrichment protocol","protocol_type"
"getNextPvId()","IMG","","Imaging preparation protocol","protocol_type"
"getNextPvId()","IPS","","iPSC induction protocol","protocol_type"
"getNextPvId()","LIB","","Library preparation protocol","protocol_type"
"getNextPvId()","SEQ","","Sequencing protocol","protocol_type"
"getNextPvId()","OTH","","Other","protocol_type"
