IDENTIFIER,CONCEPT_CODE,SHORT_URI,DEFINITION,DESCRIPTORS,PARENTS,value,PUBLIC_ID
"getNextPvId()","","UBERON_0000483","","","","epithelium","tissue_type"
"getNextPvId()","","UBERON_0034705","","","","developing neuroepithelium","tissue_type"
"getNextPvId()","","UBERON_0034706","","","","proliferating neuroepithelium","tissue_type"
"getNextPvId()","","UBERON_0004060","","","UBERON_0000922","neural tube ventricular layer","tissue_type"
"getNextPvId()","","UBERON_0034710","","","UBERON_0000922 UBERON_0002240","spinal cord ventricular layer","tissue_type"
"getNextPvId()","","UBERON_0013160","","","UBERON_0000922 UBERON_0000955","epithalamus ventricular layer","tissue_type"
"getNextPvId()","","UBERON_0004022","","","UBERON_0000922","germinal neuroepithelium","tissue_type"
"getNextPvId()","","UBERON_0034707","","","","differentiating neuroepithelium","tissue_type"
"getNextPvId()","","UBERON_0004061","","","UBERON_0000922","neural tube mantle layer","tissue_type"
"getNextPvId()","","UBERON_0009580","","","UBERON_0000922 UBERON_0000955","diencephalon mantle layer","tissue_type"
"getNextPvId()","","UBERON_0009581","","","UBERON_0000922 UBERON_0000955","midbrain mantle layer","tissue_type"
"getNextPvId()","","UBERON_0010285","","","UBERON_0000922 UBERON_0000955","midbrain basal plate","tissue_type"
"getNextPvId()","","UBERON_0009583","","","UBERON_0000922 UBERON_0002240","spinal cord mantle layer","tissue_type"
"getNextPvId()","","UBERON_0013159","","","UBERON_0000922 UBERON_0000955","epithalamus mantle layer","tissue_type"
"getNextPvId()","","UBERON_0004064","","","UBERON_0000922","neural tube basal plate","tissue_type"
"getNextPvId()","","UBERON_0005239","","","UBERON_0000922 UBERON_0000955","basal plate metencephalon","tissue_type"
"getNextPvId()","","UBERON_0005882","","","UBERON_0000922","neural tube alar plate","tissue_type"
"getNextPvId()","","UBERON_0004063","","","UBERON_0000922 UBERON_0002240","spinal cord alar plate","tissue_type"
"getNextPvId()","","UBERON_0003098","","","UBERON_0000955","optic stalk","tissue_type"
"getNextPvId()","","UBERON_0002270","","","UBERON_0000955 UBERON_0000970","hyaloid artery","tissue_type"
"getNextPvId()","","UBERON_0034932","","","","epithelium of biliary system","tissue_type"
"getNextPvId()","","UBERON_0010081","","","","future common hepatic duct","tissue_type"
"getNextPvId()","","UBERON_0004820","","","","bile duct epithelium","tissue_type"
"getNextPvId()","","UBERON_0004822","","","","extrahepatic bile duct epithelium","tissue_type"
"getNextPvId()","","UBERON_0004823","","","UBERON_0002107","intrahepatic bile duct epithelium","tissue_type"
"getNextPvId()","","UBERON_0035036","","","","naris epithelium","tissue_type"
"getNextPvId()","","UBERON_0004692","","","","external naris epithelium","tissue_type"
"getNextPvId()","","UBERON_0006799","","","","glandular epithelium","tissue_type"
"getNextPvId()","","UBERON_0006929","","","","glandular columnar epithelium","tissue_type"
"getNextPvId()","","UBERON_0006924","","","UBERON_0000945","stomach glandular epithelium","tissue_type"
"getNextPvId()","","UBERON_0000325","","","UBERON_0000945 UBERON_0001043 UBERON_0002107 UBERON_0002048","gastric gland","tissue_type"
"getNextPvId()","","UBERON_0010038","","","UBERON_0000945","fundic gastric gland","tissue_type"
"getNextPvId()","","UBERON_0008859","","","UBERON_0000945","cardiac gastric gland","tissue_type"
"getNextPvId()","","UBERON_0008861","","","UBERON_0000945","pyloric gastric gland","tissue_type"
"getNextPvId()","","UBERON_0009971","","","UBERON_0000945","principal gastric gland","tissue_type"
"getNextPvId()","","UBERON_0012276","","","UBERON_0000995","endometrium glandular epithelium","tissue_type"
"getNextPvId()","","UBERON_0002451","","","UBERON_0000995","endometrial gland","tissue_type"
"getNextPvId()","","UBERON_0012247","","","UBERON_0000995","cervical gland","tissue_type"
"getNextPvId()","","UBERON_0011197","","","","parathyroid epithelium","tissue_type"
"getNextPvId()","","UBERON_0011195","","","","inferior parathyroid epithelium","tissue_type"
"getNextPvId()","","UBERON_0011196","","","","superior parathyroid epithelium","tissue_type"
