"IDENTIFIER","CONCEPT_CODE","DEFINITION","value","PUBLIC_ID"
"getNextPvId()","ADR","","Adrenal gland","Tissue_Site_PID"
"getNextPvId()","BRA","","Brain","Tissue_Site_PID"
"getNextPvId()","EYE","","Eye","Tissue_Site_PID"
"getNextPvId()","HEA","","Heart","Tissue_Site_PID"
"getNextPvId()","LIV","","Liver","Tissue_Site_PID"
"getNextPvId()","LUN","","Lung","Tissue_Site_PID"
"getNextPvId()","OVA","","Ovary","Tissue_Site_PID"
"getNextPvId()","PAN","","Pancreas","Tissue_Site_PID"
"getNextPvId()","STO","","Stomach","Tissue_Site_PID"
"getNextPvId()","TES","","Testis","Tissue_Site_PID"
"getNextPvId()","ZYG","","Zygote","Tissue_Site_PID"
"getNextPvId()","BME","","Blastomere","Tissue_Site_PID"
"getNextPvId()","BCY","","Blastocyst","Tissue_Site_PID"
"getNextPvId()","MOR","","Morula","Tissue_Site_PID"
"getNextPvId()","MUL","","Multiple","Tissue_Site_PID"
"getNextPvId()","NOT","","Not Specified","Tissue_Site_PID"
